MinE_Orb; E_min; Last_Orb; E_last; Last_MO
10; -1.023730; 11; -0.974390;  (0C-2s 0.165202) (0C-1py 0.098797) (0C-3s 0.126635) (0C-2pz 0.003466) (0C-2py 0.009498) (0C-1dyz 0.005613) (1C-1s 0.052345) (1C-1px 0.031433) (1C-1py 0.003979) (1C-2px 0.001409) (1C-2py 0.004089) (1C-1dxz 0.005744) (1C-1dxy 0.002744) (2C-1s 0.111278) (2C-1pz 0.003983) (2C-1px 0.000203) (2C-2py 0.003968) (2C-1dxz 0.006364) (2C-1dx2y2 0.000995) (2C-1dxy 0.006414) (3C-1s 0.052288) (3C-1py 0.091868) (3C-2py 0.009004) (3C-1dz2 0.003452) (3C-1dxz 0.002999) (3C-1dx2y2 0.001748) (3C-1dxy 0.005735) (4C-2s 0.165134) (4C-1px 0.033256) (4C-1py 0.005406) (4C-3s 0.126756) (4C-2px 0.005109) (4C-1dz2 0.006062) (4C-1dyz 0.006359) (4C-1dx2y2 0.000997) (5C-2s 0.290446) (5C-1pz 0.034805) (5C-1px 0.002422) (5C-3s 0.202646) (5C-2py 0.001595) (5C-1dz2 0.003040) (5C-1dyz 0.001339) (6H-1s 0.045469) (6H-2s 0.011008) (6H-1pz 0.003457) (6H-1py 0.002004) (7H-1px 0.001445) (10H-1s 0.079436) (10H-2s 0.013115) (10H-1pz 0.005774) (10H-1px 0.000397) (11H-1s 0.045458) (11H-2s 0.010920) (11H-1px 0.002223) (12H-1pz 0.002060) (12H-1py 0.001496)
11; -0.960790; 10; -1.006870;  (0C-2s 0.182425) (0C-1pz 0.054164) (0C-1px 0.004338) (0C-3s 0.137924) (0C-2pz 0.015304) (0C-1dz2 0.005208) (1C-2s 0.248348) (1C-1py 0.060083) (1C-3s 0.186798) (1C-2pz 0.006505) (1C-2px 0.000314) (1C-1dz2 0.002758) (2C-2s 0.000082) (2C-1px 0.114052) (2C-3s 0.000079) (2C-2pz 0.000276) (2C-2py 0.000263) (2C-1dz2 0.009981) (2C-1dyz 0.000702) (2C-1dx2y2 0.005108) (2C-1dxy 0.004733) (3C-1s 0.126087) (3C-1pz 0.062112) (3C-2py 0.006011) (3C-1dxz 0.003897) (3C-1dyz 0.003714) (3C-1dx2y2 0.004631) (3C-1dxy 0.004500) (4C-1s 0.092599) (4C-1py 0.049272) (4C-2py 0.014381) (4C-1dxz 0.000673) (4C-1dyz 0.007907) (4C-1dx2y2 0.005803) (4C-1dxy 0.003363) (5C-2s 0.000118) (5C-1px 0.040967) (5C-3s 0.000019) (5C-2px 0.003329) (5C-1dxz 0.002860) (6H-1s 0.047570) (6H-2s 0.011256) (6H-1pz 0.004261) (6H-1py 0.000443) (7H-1s 0.061564) (7H-2s 0.002566) (7H-1pz 0.000453) (7H-1py 0.005411) (10H-1s 0.000025) (10H-2s 0.000002) (10H-1px 0.000404) (11H-1pz 0.000185) (11H-1py 0.004156) (12H-1pz 0.005530) (12H-1py 0.000782)
12; -0.896640; 13; -0.816610;  (0C-1s 0.056439) (0C-1pz 0.017270) (0C-1py 0.171948) (0C-2pz 0.028790) (0C-2py 0.049398) (0C-1dyz 0.006016) (0C-1dx2y2 0.001500) (1C-1s 0.053946) (1C-1pz 0.188309) (1C-1py 0.041080) (1C-2pz 0.043120) (1C-2py 0.006564) (1C-1dz2 0.000815) (1C-1dyz 0.009830) (1C-1dx2y2 0.004648) (1C-1dxy 0.000214) (2C-2s 0.201517) (2C-1py 0.000280) (2C-3s 0.190704) (2C-2pz 0.000636) (2C-2px 0.000072) (2C-1dz2 0.000552) (2C-1dyz 0.001372) (3C-1s 0.053925) (3C-1px 0.095217) (3C-2px 0.020397) (3C-1dyz 0.009346) (3C-1dx2y2 0.001175) (4C-1s 0.056362) (4C-1px 0.073682) (4C-2px 0.031569) (4C-1dyz 0.006133) (4C-1dx2y2 0.002430) (5C-2s 0.176353) (5C-1py 0.012192) (5C-3s 0.116139) (5C-2py 0.022004) (5C-1dz2 0.001636) (6H-1px 0.001665) (6H-1py 0.001039) (7H-1pz 0.001887) (7H-1px 0.001909) (10H-1s 0.077709) (10H-2s 0.021565) (10H-1pz 0.004397) (10H-1px 0.000303) (11H-1py 0.005928) (12H-1pz 0.005941)
13; -0.824870; 12; -0.847480;  (0C-1s 0.109713) (0C-1pz 0.067446) (0C-2pz 0.038478) (0C-1dz2 0.001260) (0C-1dxz 0.002470) (0C-1dx2y2 0.002316) (0C-1dxy 0.004563) (1C-2s 0.135177) (1C-1pz 0.139894) (1C-3s 0.116051) (1C-2pz 0.039145) (1C-2px 0.005307) (1C-1dz2 0.001430) (1C-1dyz 0.008458) (1C-1dx2y2 0.001696) (2C-1s 0.000031) (2C-1px 0.129260) (2C-3s 0.000079) (2C-2px 0.010949) (2C-1dz2 0.001152) (2C-1dyz 0.000079) (2C-1dx2y2 0.000589) (2C-1dxy 0.000545) (3C-1s 0.065940) (3C-1py 0.132896) (3C-2py 0.035316) (3C-1dz2 0.003135) (3C-1dxz 0.003198) (3C-1dx2y2 0.000643) (3C-1dxy 0.004988) (4C-2s 0.226010) (4C-1py 0.062464) (4C-3s 0.173861) (4C-2py 0.036803) (4C-1dz2 0.002678) (4C-1dyz 0.003425) (5C-2s 0.000028) (5C-1pz 0.124668) (5C-1py 0.128922) (5C-2pz 0.024920) (5C-2py 0.026041) (5C-1dz2 0.008358) (5C-1dyz 0.000588) (5C-1dx2y2 0.004273) (5C-1dxy 0.003969) (6H-1px 0.003551) (7H-1s 0.058589) (7H-2s 0.004916) (7H-1pz 0.002319) (7H-1py 0.003733) (10H-1s 0.000007) (10H-1pz 0.001756) (10H-1py 0.001820) (11H-1s 0.106472) (11H-2s 0.029174) (11H-1px 0.003871) (12H-1pz 0.003677) (12H-1py 0.002487)
15; -0.732790; 18; -0.619270;  (0C-1pz 0.052378) (0C-1px 0.152996) (0C-1py 0.070955) (0C-3s 0.001480) (0C-2pz 0.028873) (0C-2px 0.081617) (0C-2py 0.037586) (0C-1dz2 0.006028) (0C-1dxz 0.008940) (0C-1dyz 0.004328) (1C-1pz 0.076477) (1C-1px 0.218505) (1C-1py 0.098111) (1C-3s 0.000231) (1C-2pz 0.036375) (1C-2px 0.103058) (1C-2py 0.045213) (1C-1dz2 0.003596) (1C-1dxz 0.003326) (1C-1dyz 0.006835) (1C-1dxy 0.008205) (2C-1s 0.000011) (2C-1pz 0.107272) (2C-1px 0.307082) (2C-1py 0.140632) (2C-3s 0.000754) (2C-2pz 0.053176) (2C-2px 0.151678) (2C-2py 0.069996) (2C-1dxy 0.007176) (3C-1s 0.000076) (3C-1pz 0.074343) (3C-1px 0.218524) (3C-1py 0.099893) (3C-2pz 0.034895) (3C-2px 0.102400) (3C-2py 0.048059) (3C-1dx2y2 0.009960) (4C-2s 0.000210) (4C-1pz 0.054205) (4C-1px 0.153202) (4C-1py 0.069376) (4C-2pz 0.027535) (4C-2px 0.082513) (4C-2py 0.036808) (4C-1dz2 0.000864) (4C-1dxz 0.002902) (4C-1dx2y2 0.008351) (5C-1s 0.000023) (5C-2s 0.000070) (5C-1pz 0.044489) (5C-1px 0.129301) (5C-1py 0.058393) (5C-2pz 0.021132) (5C-2px 0.063733) (5C-2py 0.029178) (5C-1dz2 0.003716) (5C-1dxz 0.006306) (5C-1dyz 0.000865) (5C-1dx2y2 0.003015) (6H-1s 0.000226) (6H-2s 0.000092) (6H-1pz 0.000972) (6H-1px 0.002844) (6H-1py 0.001321) (7H-1s 0.000628) (7H-1pz 0.001564) (7H-1px 0.004494) (7H-1py 0.002029) (10H-1pz 0.000832) (10H-1px 0.002446) (10H-1py 0.001109) (11H-2s 0.000534) (11H-1pz 0.001023) (11H-1px 0.002854) (11H-1py 0.001266) (12H-1pz 0.001559) (12H-1px 0.004493) (12H-1py 0.002040)
14; -0.771540; 14; -0.748550;  (0C-1s 0.025293) (0C-1px 0.018976) (0C-1py 0.054570) (0C-2px 0.016650) (0C-2py 0.006966) (0C-1dxz 0.004110) (1C-2s 0.067198) (1C-1pz 0.066282) (1C-1px 0.079416) (1C-3s 0.140836) (1C-2pz 0.027238) (1C-2px 0.009206) (1C-1dz2 0.002827) (1C-1dyz 0.001897) (1C-1dx2y2 0.001242) (1C-1dxy 0.000232) (2C-2s 0.038594) (2C-1pz 0.124976) (2C-1px 0.008700) (2C-2pz 0.064146) (2C-2px 0.004262) (2C-1dyz 0.013673) (2C-1dx2y2 0.003662) (3C-2s 0.067351) (3C-1pz 0.235923) (3C-3s 0.141536) (3C-2pz 0.043119) (3C-1dxz 0.000113) (3C-1dyz 0.001504) (4C-1s 0.025339) (4C-1py 0.119035) (4C-2py 0.055907) (4C-1dz2 0.006943) (4C-1dyz 0.000931) (4C-1dx2y2 0.004806) (4C-1dxy 0.004675) (5C-2s 0.131194) (5C-1py 0.129243) (5C-3s 0.171043) (5C-2py 0.038773) (5C-1dz2 0.000301) (5C-1dyz 0.000889) (6H-1s 0.026021) (6H-2s 0.007289) (6H-1pz 0.000768) (6H-1py 0.001496) (7H-1s 0.148985) (7H-2s 0.083424) (7H-1pz 0.002384) (7H-1py 0.007022) (10H-1s 0.148261) (10H-2s 0.066177) (10H-1pz 0.006283) (10H-1px 0.000429) (11H-1s 0.026042) (11H-2s 0.007046) (11H-1px 0.000889) (12H-1s 0.149208) (12H-2s 0.083694) (12H-1px 0.003682)
16; -0.723770; 15; -0.712960;  (0C-1s 0.014522) (0C-1px 0.079148) (0C-2px 0.024360) (0C-1dxz 0.001696) (0C-1dyz 0.000059) (1C-2s 0.048326) (1C-1px 0.152291) (1C-3s 0.006125) (1C-2px 0.057247) (1C-1dxz 0.003196) (2C-1s 0.000013) (2C-2s 0.000004) (2C-1pz 0.178894) (2C-1py 0.184674) (2C-3s 0.000028) (2C-2px 0.012301) (2C-1dxz 0.003729) (3C-1s 0.022456) (3C-1px 0.152788) (3C-2px 0.059120) (3C-1dxz 0.000786) (3C-1dyz 0.003267) (4C-2s 0.030486) (4C-1px 0.072156) (4C-3s 0.043922) (4C-2px 0.022387) (4C-1dxz 0.001334) (5C-1s 0.000005) (5C-2s 0.000007) (5C-1pz 0.103542) (5C-1py 0.107350) (5C-2pz 0.018373) (5C-2py 0.019275) (5C-1dz2 0.006747) (5C-1dyz 0.000480) (5C-1dx2y2 0.003457) (5C-1dxy 0.003211) (6H-1s 0.039265) (6H-2s 0.024910) (6H-1pz 0.002642) (7H-1s 0.165262) (7H-2s 0.097793) (7H-1py 0.007642) (10H-1s 0.000099) (10H-2s 0.000011) (10H-1pz 0.001821) (10H-1py 0.001876) (11H-1py 0.002417) (12H-1pz 0.007915)
17; -0.707130; 16; -0.674780;  (0C-1s 0.034125) (0C-1pz 0.223240) (0C-1py 0.079356) (0C-2pz 0.098204) (0C-2py 0.014460) (0C-1dxz 0.003247) (1C-2s 0.079484) (1C-1px 0.071805) (1C-3s 0.069980) (1C-2px 0.024603) (1C-1dxz 0.005010) (2C-1s 0.068531) (2C-1py 0.017854) (2C-2py 0.022922) (2C-1dz2 0.001506) (2C-1dxz 0.000605) (2C-1dxy 0.000037) (3C-2s 0.079482) (3C-1pz 0.096705) (3C-1py 0.081355) (3C-3s 0.069998) (3C-2pz 0.048348) (3C-2py 0.010776) (3C-1dz2 0.011881) (3C-1dx2y2 0.005181) (3C-1dxy 0.005225) (4C-1s 0.034096) (4C-1px 0.124659) (4C-2px 0.047127) (4C-1dz2 0.007042) (4C-1dyz 0.000940) (4C-1dx2y2 0.004134) (4C-1dxy 0.003645) (5C-2s 0.086280) (5C-1pz 0.126725) (5C-1px 0.008553) (5C-3s 0.080155) (5C-2pz 0.032010) (5C-2px 0.001979) (5C-1dz2 0.001281) (5C-1dxz 0.002547) (5C-1dxy 0.002046) (6H-1px 0.003312) (7H-1s 0.121544) (7H-2s 0.071831) (7H-1py 0.004960) (10H-1py 0.001188) (11H-1pz 0.001368) (11H-1py 0.007115) (12H-1s 0.121737) (12H-2s 0.072115) (12H-1px 0.001773)
18; -0.688690; 21; -0.581920;  (8N-2s 0.335143) (8N-1pz 0.002008) (8N-3s 0.479056) (8N-2pz 0.000816) (8N-1dz2 0.009621) (8N-1dxz 0.000311) (8N-1dyz 0.000006) (9N-1s 0.148452) (9N-1pz 0.001938) (9N-2pz 0.000702) (9N-1dx2y2 0.016529) (9N-1dxy 0.000626)
19; -0.649590; 17; -0.658430;  (0C-2s 0.007769) (0C-1pz 0.181119) (0C-1px 0.040768) (0C-3s 0.020590) (0C-2pz 0.063370) (0C-1dz2 0.005561) (0C-1dxz 0.000655) (0C-1dx2y2 0.000166) (0C-1dxy 0.003499) (1C-2s 0.012391) (1C-1py 0.237482) (1C-2py 0.082016) (1C-1dz2 0.000321) (1C-1dxz 0.003972) (1C-1dxy 0.002592) (2C-2s 0.000243) (2C-1pz 0.048714) (2C-1py 0.050384) (2C-3s 0.000544) (2C-2pz 0.005427) (2C-2py 0.005642) (2C-1dz2 0.015294) (2C-1dyz 0.001077) (2C-1dx2y2 0.007826) (2C-1dxy 0.007286) (3C-1s 0.002391) (3C-1pz 0.254703) (3C-3s 0.005404) (3C-2pz 0.089033) (3C-2px 0.002526) (3C-1dyz 0.008100) (3C-1dx2y2 0.000634) (4C-1s 0.003204) (4C-1px 0.011225) (4C-1py 0.162088) (4C-2py 0.059771) (4C-1dz2 0.002182) (4C-1dyz 0.007743) (4C-1dx2y2 0.003809) (4C-1dxy 0.000145) (5C-1s 0.000062) (5C-1pz 0.141016) (5C-1py 0.146084) (5C-2pz 0.065455) (5C-2py 0.067851) (5C-1dz2 0.000765) (5C-1dyz 0.000056) (5C-1dx2y2 0.000391) (5C-1dxy 0.000346) (6H-1pz 0.000027) (6H-1px 0.002346) (7H-1px 0.003158) (10H-1s 0.000035) (10H-1pz 0.002558) (10H-1py 0.002656) (11H-1s 0.048291) (11H-2s 0.026450) (11H-1px 0.001986) (12H-1s 0.122717) (12H-2s 0.082546) (12H-1px 0.003145)
