MinE_Orb; E_min; Last_Orb; E_last; Last_MO
56; 0.320350; 55; 0.277970;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
59; 0.337780; 58; 0.355550;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
58; 0.333490; 56; 0.295970;  13C 9H 8H 16H 6H 7H 0C 1C 2C 3C 15H 12O 4C 5C
59; 0.337780; 58; 0.355550;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
62; 0.379270; 66; 0.414160;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
60; 0.368190; 66; 0.414160;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
61; 0.376670; 58; 0.355550;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
64; 0.408810; 66; 0.414160;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
60; 0.368190; 66; 0.414160;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
66; 0.416850; 61; 0.376560;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
63; 0.395230; 63; 0.390720;  13C 9H 8H 16H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
69; 0.468740; 69; 0.460130;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
68; 0.464170; 68; 0.453140;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
63; 0.395230; 63; 0.390720;  13C 9H 8H 16H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
68; 0.464170; 68; 0.453140;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
71; 0.516950; 71; 0.547590;  13C 9H 8H 16H 6H 7H 0C 1C 2C 3C 15H 12O 4C 5C
72; 0.524160; 75; 0.572900;  11N 10N
75; 0.589350; 71; 0.547590;  13C 9H 8H 16H 6H 7H 0C 1C 2C 3C 15H 12O 4C 5C
73; 0.560350; 75; 0.572900;  11N 10N
73; 0.560350; 75; 0.572900;  11N 10N
76; 0.613680; 76; 0.575820;  13C 9H 8H 16H 6H 7H 0C 1C 2C 3C 15H 12O 4C 5C
78; 0.647060; 78; 0.627610;  13C 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
79; 0.667820; 81; 0.688040;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
80; 0.680500; 86; 0.718370;  11N 10N
81; 0.688970; 82; 0.690120;  11N 10N
77; 0.639450; 78; 0.627610;  13C 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
82; 0.700170; 82; 0.690120;  11N 10N
83; 0.704340; 80; 0.665130;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
84; 0.721050; 80; 0.665130;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
85; 0.741980; 82; 0.690120;  11N 10N
87; 0.785700; 86; 0.718370;  11N 10N
87; 0.785700; 86; 0.718370;  11N 10N
88; 0.803620; 84; 0.702960;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
89; 0.820460; 86; 0.718370;  11N 10N
89; 0.820460; 86; 0.718370;  11N 10N
90; 0.860600; 90; 0.777960;  11N 10N
92; 0.902800; 88; 0.765960;  13C 9H 8H 16H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
96; 1.030920; 100; 1.094420;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
93; 0.974830; 92; 0.844700;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
95; 1.015180; 93; 0.846700;  13C 9H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
97; 1.103270; 101; 1.145060;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
99; 1.125690; 98; 1.069460;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
94; 0.998090; 92; 0.844700;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
103; 1.197900; 105; 1.240060;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
94; 0.998090; 92; 0.844700;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
103; 1.197900; 105; 1.240060;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
101; 1.160670; 100; 1.094420;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
103; 1.197900; 105; 1.240060;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
104; 1.206830; 105; 1.240060;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
105; 1.239370; 101; 1.145060;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
106; 1.249920; 105; 1.240060;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
107; 1.276620; 105; 1.240060;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
108; 1.289460; 105; 1.240060;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
109; 1.294200; 105; 1.240060;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
111; 1.472340; 113; 1.515490;  11N 10N
110; 1.365030; 105; 1.240060;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
112; 1.535320; 113; 1.515490;  11N 10N
113; 1.577990; 113; 1.515490;  11N 10N
113; 1.577990; 113; 1.515490;  11N 10N
114; 1.591000; 111; 1.417840;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
114; 1.591000; 111; 1.417840;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
120; 1.707860; 125; 1.798450;  13C 9H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
