MinE_Orb; E_min; Last_Orb; E_last; Last_MO
71; 0.794060; 72; 0.744700;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
69; 0.737490; 66; 0.692940;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
72; 0.847900; 68; 0.708070;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
73; 0.928370; 74; 0.871470;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
75; 0.983030; 75; 0.898150;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
75; 0.983030; 75; 0.898150;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
76; 0.994930; 76; 0.928910;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
78; 1.081060; 79; 1.072460;  12H 6H 11H 0C 1C 2C 3C 4C 5C
74; 0.930950; 73; 0.781580;  8N 9N
80; 1.160550; 82; 1.169560;  10H 12H 6H 7H 0C 1C 2C 3C 4C 5C
84; 1.213930; 82; 1.169560;  10H 12H 6H 7H 0C 1C 2C 3C 4C 5C
79; 1.151980; 82; 1.169560;  10H 12H 6H 7H 0C 1C 2C 3C 4C 5C
81; 1.168470; 77; 0.947040;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
86; 1.235710; 84; 1.198850;  10H 12H 11H 0C 1C 2C 3C 4C 5C
83; 1.208470; 81; 1.118550;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
79; 1.151980; 82; 1.169560;  10H 12H 6H 7H 0C 1C 2C 3C 4C 5C
82; 1.200100; 82; 1.169560;  10H 12H 6H 7H 0C 1C 2C 3C 4C 5C
87; 1.261550; 85; 1.253080;  8N 9N
89; 1.494350; 92; 1.519120;  8N 9N
88; 1.284610; 89; 1.420540;  8N 9N
92; 1.582490; 86; 1.302460;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
96; 1.701180; 104; 1.909920;  8N 9N
90; 1.560720; 90; 1.490450;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
92; 1.582490; 86; 1.302460;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
91; 1.575820; 91; 1.519110;  8N 9N
95; 1.682720; 93; 1.542140;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
97; 1.726180; 103; 1.909880;  8N 9N
96; 1.701180; 104; 1.909920;  8N 9N
98; 1.741840; 97; 1.734220;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
101; 1.793310; 104; 1.909920;  8N 9N
100; 1.780960; 104; 1.909920;  8N 9N
99; 1.771110; 99; 1.773980;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
105; 1.893360; 105; 1.939000;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
102; 1.793850; 101; 1.812880;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
104; 1.892690; 102; 1.875400;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
103; 1.847550; 100; 1.779650;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
106; 2.079070; 109; 2.069360;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
107; 2.080100; 106; 1.997210;  10H 12H 6H 11H 0C 1C 2C 3C 4C 5C
108; 2.165020; 107; 2.048000;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
110; 2.194760; 110; 2.174870;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
112; 2.221460; 110; 2.174870;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
109; 2.170600; 107; 2.048000;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
111; 2.204510; 111; 2.197860;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
113; 2.248150; 112; 2.220980;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
115; 2.287240; 113; 2.257090;  10H 6H 11H 7H 0C 1C 2C 3C 4C 5C
114; 2.255120; 115; 2.268730;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
116; 2.299760; 117; 2.326370;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
119; 2.409230; 118; 2.327120;  10H 6H 11H 7H 0C 1C 2C 3C 4C 5C
118; 2.373100; 116; 2.324750;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
